sentence_id	token	pos_GF	pos_AT		Adjudication		
9	gren	NOUN	NOUN		NOUN		
9	diri	NOUN	NOUN		NOUN		
9	ka	PART	PART		PART		
9	fè	VERB	VERB		VERB		
9	sak	NOUN	NOUN		NOUN		
9	diri	NOUN	NOUN		NOUN		
10	malè	NOUN	NOUN		NOUN		
10	pa	ADV	ADV		ADV		
10	ni	VERB	VERB		VERB		
10	klakson	NOM	NOUN		NOUN		
11	sè	ADV	VERB		VERB		
11	an	DET	DET		DET		
11	sèl	ADJ	ADJ		ADJ		
11	kominoté	NOUN	NOUN		NOUN		
12	ou	PRON	PRON		PRON		
12	ka	PART	PART		PART		
12	sonjé	VERB	VERB		VERB		
12	ki_jan	ADJ+PRON	ADJ+NOM		ADV		
12	yo	PRON	PRON		PRON		
12	ka	PART	PART		PART		
12	fè	VERB	VERB		VERB		
12	sa	PRON	PRON		PRON		
13	fo	AUX	AUX		AUX		
13	nou	PRON	PRON		PRON		
13	pa	ADV	ADV		ADV		
13	oubliyé	VERB	VERB		VERB		
13	nou	PRON	PRON		PRON		
13	ni	VERB	VERB		VERB		
13	menm	ADJ	ADJ		ADJ		
13	istwa	NOUN	NOUN		NOUN		
14	kréòl	NOUN	NOUN		NOUN		
14	osi	ADV	ADV		ADV		
14	an	ADP	ADP		ADP		
14	fòs	NOUN	NOUN		NOUN		
14	sé	VERB	VERB		VERB		
14	kilti	NOUN	NOUN		NOUN		
14	an	ADP	ADP		ADP		
14	nou	PRON	PRON		PRON		
15	an	PRON	PRON		PRON		
15	enkyèt	ADJ	ADJ		ADJ		
15	kon	ADP	ADP		ADP		
15	tikyèt	NOUN	NOUN		NOUN		
15	a	ADP	ADP		ADP		
15	finèt	NOUN	NOUN		NOUN		
15	nèf	ADJ	ADJ		ADJ		
15	a	ADP	ADP		ADP		
15	katr	DET	DET		DET		
15	è	NOUN	NOUN		NOUN		
15	d	ADP	ADP		ADP		
15	maten	NOUN	NOUN		NOUN		
16	i	PRON	PRON		PRON		
16	di	VERB	VERB		VERB		
16	mwen	PRON	PRON		PRON		
16	an	PRON	PRON		PRON		
16	ka	PART	PART		PART		
16	kolé	VERB	VERB		VERB		
16	an	PRON	?		X	dysfluence	
16	men	ADJ	NOUN		PRON		
16	an	?	ADP		X	dysfluence	
16	télé	NOUN	NOUN		NOUN		
16	la	DET	DET		DET		
16	chak	DET	DET		DET		
16	fwa	NOUN	NOUN		NOUN		
16	si	SCONJ	SCONJ		SCONJ		
16	w	PRON	PRON		PRON		
16	rémaké	VERB	VERB		VERB		
17	an	PRON	PRON		PRON		
17	ka	PART	PART		PART		
17	dansé	VERB	VERB		VERB		
17	konsa	ADV	ADV		ADV		
18	men	NOUN	NOUN		NOUN		
18	an	ADP	ADP		ADP		
18	mwen	PRON	PRON		PRON		
18	kolé	VERB	VERB		VERB		
18	si	ADP	ADP		ADP		
18	télé	NOUN	NOUN		NOUN		
18	la	DET	DET		DET		
18	an	?	?		X	dysfluenceÂ ?	PRON
18	ka	PART	PART		PART		
18	santi	VERB	VERB		VERB		
18	dè	DET	X		DET		
18	vibrasyon	NOUN	NOUN		NOUN		
19	é	CONJ	CONJ		CONJ		
19	an	PRON	PRON		PRON		
19	ka	PART	PART		PART		
19	dansé	VERB	VERB		VERB		
19	ritm	NOUN	NOUN		NOUN		
19	la	DET	DET		DET		
19	men	CONJ	CONJ		CONJ		
19	an	PRON	PRON		PRON		
19	pa	ADV	ADV		ADV		
19	ka	AUX	AUX		PART	PART	
19	tann	VERB	VERB		VERB		
19	sa	PRON	PRON		PRON	pb tokénisation sa'wÂ : ce que tu => plutÃ´t un token	
19	'w	PRON	PRON		PRON		
19	tann	VERB	VERB		VERB		
20	anmenm	DET	DET		DET	anmenm tanÂ : figéÂ ?	
20	tan	NOUN	NOUN		NOUN		
20	mékrédi	NOUN	NOUN		NOUN		
20	fo	AUX	AUX		AUX		
20	an	PRON	PRON		PRON		
20	ay	VERB	VERB		VERB		
20	an	ADP	ADP		ADP		
20	pisin	NOUN	NOUN		NOUN		
20	la	DET	DET		DET		
21	sa	PRON	PRON		PRON		
21	ké	PART	PART		PART		
21	dépann	VERB	VERB		VERB		
21	si	SCONJ	SCONJ		SCONJ		
21	ou	PRON	PRON		PRON		
21	di	VERB	VERB		VERB		
21	mwen	PRON	PRON		PRON		
21	an	PRON	PRON		PRON		
21	ké	PART	PART		PART		
21	vin	VERB	VERB		VERB		
21	fè	VERB	VERB		VERB		
21	sa	PRON	PRON		PRON		
21	avè	ADP	ADP		ADP		
21	ou	PRON	PRON		PRON		
21	an	ADP	ADP		ADP		
21	pisin	NOUN	NOUN		NOUN		
21	la	DET	DET		DET		
22	an	PRON	PRON		PRON		
22	ké	PART	PART		PART		
22	rivé	VERB	VERB		VERB		
22	avan	ADP	ADP		ADP		
22	dé	DET	X		DET		
22	tout	DET	DET		DET		
22	fason	NOUN	NOUN		NOUN		
22	men	CONJ	CONJ		CONJ		
22	si	SCONJ	SCONJ		SCONJ		
22	ou	PRON	PRON		PRON		
22	di	VERB	VERB		VERB		
22	mwen	PRON	PRON		PRON		
22	ké	PART	PART		PART		
22	ou	PRON	PRON		PRON		
22	préfè	VERB	VERB		VERB		
22	on	DET	DET		DET		
22	lòt	ADJ	ADJ		ADJ		
22	jou	NOUN	NOUN		NOUN		
23	mal	ADV	ADV		ADV		
23	palé	VERB	VERB		VERB		
23	nou	PRON	PRON		PRON		
23	antré	ADP	ADP		ADP		
23	nou	PRON	PRON		PRON		
23	nou	PRON	PRON		PRON		
23	pa	ADV	ADV		ADV		
23	bizwen	VERB	VERB		VERB		
23	sa	PRON	PRON		PRON		
23	ankò	ADV	ADV		ADV		
24	blan	NOUN	NOUN		NOUN		
24	nèg	NOUN	NOUN		NOUN		
24	nwaw	NOUN	NOUN		NOUN		
24	sé	VERB	VERB		VERB		
24	sé	VERB	VERB		VERB		
24	an	DET	DET		DET		
24	sèl	ADJ	ADJ		ADJ		
24	fòs	NOUN	NOUN		NOUN		
25	mandé	VERB	VERB		VERB		
25	mwen	PRON	PRON		PRON		
25	menm	ADJ	ADJ		ADJ		
25	si	SCONJ	SCONJ		SCONJ		
25	an	PRON	PRON		PRON		
25	té	PART	PART		PART		
25	ni	VERB	VERB		VERB		
25	kouzin	NOUN	NOUN		NOUN		
25	ki	PRON	PRON		PRON		
25	té	PART	PART		PART		
25	vin	VERB	VERB		VERB		
25	si	SCONJ	SCONJ		SCONJ		
25	an	PRON	PRON		PRON		
25	té	PART	PART		PART		
25	ni	VERB	VERB		VERB		
25	kouzin	NOUN	NOUN		NOUN		
25	ki	PRON	PRON		PRON		
25	pa	ADV	ADV		ADV		
25	ka	PART	PART		PART		
25	tann	VERB	VERB		VERB		
26	pli	ADV	ADV		ADV		
26	gran	ADJ	ADJ		ADJ		
26	kilti	NOM	NOUN		NOUN		
26	a	ADP	ADP		ADP		
26	Mari-Galant	PROPN	PROPN		PROPN		
26	sé	VERB	VERB		VERB		
26	kann	NOUN	NOUN		NOUN		
26	avè	ADP	ADP		ADP		
26	kiles	PRON	PRON		PRON		
26	yo	PRON	PRON		PRON		
26	ka	PART	PART		PART		
26	fè	VERB	VERB		VERB		
26	sik	NOUN	NOUN		NOUN		
26	é	CONJ	CONJ		CONJ		
26	wonm	NOUN	NOUN		NOUN		
27	ki	PRON	PRON		PRON		
27	sé	VERB	VERB		VERB		
27	moun	NOUN	NOUN		NOUN		
27	Gwadoup	PROPN	PROPN		PROPN		
27	Matinik	PROPN	PROPN		PROPN		
27	Ayiti	PROPN	PROPN		PROPN		
27	Guyan	PROPN	PROPN		PROPN		
27	nou	PRON	pr		PRON		
27	sé	VERB	VERB		VERB		
27	an	DET	DET		DET		
27	sèl	ADJ	ADJ		ADJ		
27	kréòl	NOUN	NOUN		NOUN		
27	sé	VERB	VERB		VERB		
27	an	DET	DET		DET		
27	sèl	ADJ	ADJ		ADJ		
27	fòs	NOUN	NOUN		NOUN		
28	an	ADP	ADP		ADP	an_jénéralÂ ? ADVÂ ?	
28	jénéral	NOUN	NOUN		NOUN		
28	lè	SCONJ	SCONJ		SCONJ		
28	ou	PRON	PRON		PRON		
28	pa	ADV	ADV		ADV		
28	ni	VERB	VERB		VERB		
28	manman	NOUN	NOUN		NOUN		
28	w	PRON	PRON		PRON		
28	papa	NOUN	NOUN		NOUN		
28	w	PRON	PRON		PRON		
28	déryé	ADP	ADP		ADP		
28	do	NOUN	NOUN		NOUN		
28	a	PRON	PRON		PRON	tokénisation a'w	
28	'w	PRON	PRON		PRON		
28	ou	PRON	ADV+PRON		 PRON		
28	tou	ADV	ADV		ADV		
28	jèn	ADJ	ADJ		ADJ		
29	an	PRON	PRON		PRON		
29	té	PART	PART		PART		
29	byen	ADV	ADV		ADV		
29	émé	VERB	VERB		VERB		
29	sa	PRON	PRON		PRON		
29	an	PRON	PRON		PRON		
29	té	PART	PART		PART		
29	ka	PART	PART		PART		
29	aprann	VERB	VERB		VERB		
29	byen	ADV	ADV		ADV		
29	an	PRON	PRON		PRON		
29	té	PART	PART		PART		
29	asé	ADV	ADV		ADV		
29	sérièz	ADJ	ADJ		ADJ		
30	an	PRON	PRON		PRON		
30	ka	PART	PART		PART		
30	wè	VERB	VERB		VERB		
30	ou	PRON	PRON		PRON		
30	ka	PART	PART		PART		
30	dansé	VERB	VERB		VERB		
30	su	ADP	ADP		ADP		
30	mizik	NOUN	NOUN		NOUN		
30	sé	DET	DET		DET		
30	klip	NOUN	NOUN		NOUN		
30	la	DET	DET		DET		
30	an	ADP	ADP		ADP		
30	télé	NOUN	NOUN		NOUN		
30	la	DET	DET		DET		
31	Dé	ADP	ADP		ADP		
31	tout	DET	DET		DET		
31	fason	NOUN	NOUN		NOUN		
31	sé	VERB	VERB		VERB		
31	té	PART	PART		PART		
31	prémyé	ADJ	ADJ		ADJ		
31	fwa	NOUN	NOUN		NOUN		
31	an	PRON	PRON		PRON		
31	té	PART	PART		PART		
31	wè	VERB	VERB		VERB		
31	on	DET	DET		DET		
31	moun	NOUN	NOUN		NOUN		
31	ki	PRON	PRON		PRON		
31	pa	ADV	ADV		ADV		
31	té	PART	PART		PART		
31	ka	AUX	AUX		AUX		
31	tann	VERB	VERB		VERB		
31	ké	PRON	SCONJ		SCONJ		
31	an	PRON	PRON		PRON		
31	té	PART	PART		PART		
31	ka	PART	PART		PART		
31	tann	VERB	VERB		VERB		
31	palé	VERB	VERB		VERB		
31	dé	ADP	ADP		ADP		
31	sa	PRON	PRON		PRON		
32	rakoun	NOUN	NOUN		NOUN		
32	la	DET	DET		DET		
32	sé	VERB	VERB		VERB		
32	amblem	VERB	NOUN		NOUN		
32	Pak	NOUN	NOUN		NOUN		
32	national	ADJ	ADJ		ADJ		
32	Gwadloup	PROPN	PROPN		PROPN		
32	men	CONJ	CONJ		CONJ		
32	sé	VERB	VERB		VERB		
32	on	DET	DET		DET		
32	jan	NOUN	NOUN		NOUN		
32	ki	PRON	PRON		PRON		
32	té	PART	PART		PART		
32	introdwi	VERB	VERB		VERB		
32	kon	ADP	ADP		ADP		
32	mangous	NOUN	NOUN		NOUN		
32	ou	CONJ	CONJ		CONJ		
32	rat'	NOUN	NOUN		NOUN		
33	sapoti	NOUN	NOUN		NOUN		
33	sé	VERB	VERB		VERB		
33	on	DET	DET		DET		
33	fwi	NOUN	NOUN		NOUN		
33	a	ADP	ADP		ADP		
33	sapotiyé	NOUN	NOUN		NOUN		
33	chè	NOUN	NOUN		NOUN		
33	a	ADP	ADP		ADP		
33	y	PRON	PRON		PRON		
33	sikré	ADJ	ADJ		ADJ		
33	on_pil	ADV	ADV		ADV		
33	é	CONJ	CONJ		CONJ		
33	an	ADP	ADP		ADP		
33	tchè	NOUN	NOUN		NOUN		
33	a	ADP	ADP		ADP		
33	fwi	NOUN	NOUN		NOUN		
33	la	DET	DET		DET		
33	ni	VERB	VERB		VERB		
33	ti	ADJ	ADJ		ADJ		
33	grenn'	NOUN	NOUN		NOUN		
33	nwè	ADJ	ADJ		ADJ		
33	oswè	ADV	ADV		ADV		
34	la	DET	DET		DET		
34	mwen	PRON	PRON		PRON		
34	ké	PART	PART		PART		
34	ay	VERB	VERB		VERB		
34	kay	PART	PART		PART		
34	Jessica	PROPN	PROPN		PROPN		
34	dayè	ADP	ADP		ADP		
34	li	PRON	PRON		PRON		
34	di	VERB	VERB		VERB		
34	mwen	PRON	PRON		PRON		
34	vin	VERB	VERB		VERB		
34	lakaz	NOUN	NOUN		NOUN		
34	a	ADP	ADP		ADP		
34	y	PRON	PRON		PRON		
34	byento	ADV	ADV		ADV		
34	li	PRON	PRON		PRON		
34	di	VERB	VERB		VERB		
34	mwen	PRON	PRON		PRON		
34	li	PRON	PRON		PRON		
34	bezwen	AUX	AUX		AUX		
34	fè	VERB	VERB		VERB		
34	an	DET	DET		DET		
34	kolombo	NOUN	NOUN		NOUN		
34	paské	SCONJ	SCONJ		SCONJ		
35	lè	SCONJ	SCONJ		SCONJ		
35	an	DET	DET		DET		
35	moun	NOUN	NOUN		NOUN		
35	ki	PRON	PRON		PRON		
35	di	VERB	VERB		VERB		
35	mwen	PRON	PRON		PRON		
35	i	PRON	PRON		PRON		
35	ni	VERB	VERB		VERB		
35	an	DET	DET		DET		
35	diskou	NOUN	NOUN		NOUN		
35	kominotarist	ADJ	ADJ		ADJ		
35	mwen	PRON	PRON		PRON		
35	ka	PART	PART		PART		
35	di	VERB	VERB		VERB		
35	ki	SCONJ	SCONJ		SCONJ		
35	ou	PRON	PRON		PRON		
35	blan	ADJ	ADJ		ADJ		
35	si	SCONJ	SCONJ		SCONJ		
35	ou	PRON	PRON		PRON		
35	pou	ADP	ADP		ADP		
35	biten	NOUN	NOUN		NOUN		
35	la	DET	DET		DET		
35	avansé	VERB	VERB		VERB		
35	sé	VERB	VERB		VERB		
35	an	DET	DET		DET		
35	sèl	ADJ	ADJ		ADJ		
35	fòs	NOUN	NOUN		NOUN		
35	ki	PRON	PRON		PRON		
35	pou	ADP	ADP		ADP		
35	fè	AUX	AUX		AUX		
35	nou	PRON	PRON		PRON		
35	avansé	VERB	VERB		VERB		
35	Milatress	PROPN	PROPN		PROPN		
36	Solitid	PROPN	PROPN		PROPN		
36	sé	VERB	VERB		VERB		
36	an	DET	DET		DET		
36	figui	NOUN	NOUN		NOUN		
36	istorik	ADJ	ADJ		ADJ		
36	a	ADP	ADP		ADP		
36	résistans	NOUN	NOUN		NOUN		
36	a	ADP	ADP		ADP		
36	esklav	NOUN	NOUN		NOUN		
36	neg	ADJ	ADJ		ADJ		
36	an	ADP	ADP		ADP		
36	Gwadloup	PROPN	PROPN		PROPN		
36	té	PART	PART		PART		
36	egzisté	VERB	VERB		VERB		
36	mé	CONJ	CONJ		CONJ		
36	listwa	NOUN	NOUN		NOUN		
36	a	ADP	ADP		ADP		
36	y	PRON	PRON		PRON		
36	sé	VERB	VERB		VERB		
36	on	DET	DET		DET		
36	kont	NOUN	NOUN		NOUN		
36	yo	PRON	PRON		PRON		
37	ka	PART	PART		PART		
37	rann	VERB	VERB		VERB		
37	yo	PRON	PRON		PRON		
37	kont	NOUN	NOUN		NOUN		
37	ké	SCONJ	SCONJ		SCONJ		
37	tanbou	NOUN	NOUN		NOUN		
37	sé	VERB	VERB		VERB		
37	larézistans	NOUN	NOUN		NOUN		
37	sé	VERB	VERB		VERB		
37	sa	PRON	PRON		PRON		
37	ki	PRON	PRON		PRON		
37	pèmèt	VERB	VERB		VERB		
37	yo	PRON	PRON		PRON		
37	rézisté	VERB	VERB		VERB		
37	sa	PRON	PRON		PRON		
37	ki	PRON	PRON		PRON		
37	pèmèt	VERB	VERB		VERB		
37	yo	PRON	PRON		PRON		
37	osi	ADV	ADV		ADV		
37	solidarité	NOUN	NOUN		NOUN		
37	a	ADP	ADP		ADP		
37	yo	PRON	PRON		PRON		
37	sanblé	VERB	VERB		VERB		
37	donk	CONJ	CONJ		CONJ		
37	é	CONJ	CONJ		CONJ		
37	sé	VERB	VERB		VERB		
37	pou	ADP	ADP		ADP		
37	sa	PRON	PRON		PRON		
37	jodijou	ADV	ADV		ADV		
37	nou	PRON	PRON		PRON		
37	ka	PART	PART		PART		
37	respèkté	VERB	VERB		VERB		
37	gwo_ka	NOM	ADJ+NOM		NOUN		
38	tini	VERB	VERB		VERB		
38	onlo	DET	DET		DET		
38	dot	DET	DET		DET		
38	biten	NOM	NOUN		NOUN		
38	pou	ADP	ADP		ADP		
38	vwè	VERB	VERB		VERB		
38	Gel	PROPN	PROPN		PROPN		
38	Gran	PROPN	PROPN		PROPN		
38	Gouf	PROPN	PROPN		PROPN		
38	sé	VERB	VERB		VERB		
38	on	DET	DET		DET		
38	gran	ADJ	ADJ		ADJ		
38	twou	NOUN	NOUN		NOUN		
38	ki	PRON	PRON		PRON		
38	fouyé	VERB	VERB		VERB		
38	adan	ADP	ADP		ADP		
38	falez	NOUN	NOUN		NOUN		
38	la	DET	DET		DET		
38	é	CONJ	CONJ		CONJ		
38	adan	ADP	ADP		ADP		
38	kiles	PRON	PRON		PRON		
38	lanmè	NOUN	NOUN		NOUN		
38	la	DET	DET		DET		
38	ka	PART	PART		PART		
38	rantré	VERB	VERB		VERB		
38	Kay	PROPN	PROPN		PROPN		
38	Plat	PROPN	PROPN		PROPN		
38	sé	VERB	VERB		VERB		
38	on	DET	DET		DET		
38	falèz	NOM	NOUN		NOUN		
38	plat	ADJ	ADJ		ADJ		
38	anba	ADP	ADP		ADP		
38	kiles	PRON	PRON		PRON		
38	lanmè	NOM	NOUN		NOUN		
38	la	DET	DET		DET		
38	ka	PART	PART		PART		
38	rantré	VERB	VERB		VERB		
38	Moulen	PROPN	PROPN		PROPN		
38	Béza	PROPN	PROPN		PROPN		
38	sé	VERB	VERB		VERB		
38	on	DET	DET		DET		
38	moulen	NOUN	NOUN		NOUN		
38	yo	PRON	PRON		PRON		
38	rikonsui	VERB	VERB		VERB		
38	avè	ADP	ADP		ADP		
38	zel	NOUN	NOUN		NOUN		
38	a-y	PRON	ADP+PRON		PRON		
38	Bitasyon	PROPN	PROPN		PROPN		
38	Mira	PROPN	PROPN		PROPN		
38	sé	VERB	VERB		VERB		
38	on	DET	DET		DET		
38	bitasyon	NOUN	NOUN		NOUN		
38	an	ADP	ADP		ADP		
38	tan	NOUN	NOUN		NOUN		
38	lontan	ADJ	ADJ		ADJ		
38	moun	NOUN	NOUN		NOUN		
38	pé	AUX	AUX		AUX		
38	vizité	VERB	VERB		VERB		
39	swa	CONJ	VERB		SCONJ		
39	an	PRON	PRON		PRON		
39	ké	PART	PART		PART		
39	travay	VERB	VERB		VERB		
39	Paris-8	PROPN	PROPN		PROPN		
39	swa	CONJ	VERB		SCONJ		
39	an	PRON	PRON		PRON		
39	ké	PART	PART		PART		
39	travay	VERB	VERB		VERB		
39	lakaz	NOUN	NOUN		NOUN		
39	mwen	PRON	PRON		PRON		
39	kom	ADP	ADP		ADP		
39	sa	PRON	PRON		PRON		
39	lè	SCONJ	SCONJ		SCONJ		
39	ou	PRON	PRON		PRON		
39	vin	VERB	VERB		VERB		
39	an	PRON	PRON		PRON		
39	ké	PART	PART		PART		
39	la	ADV	ADV		ADV		
39	an	DET	DET		DET		
39	pé	ADV	ADV		ADV		
39	lwen	ADV	ADV		ADV		
39	si	SCONJ	SCONJ		SCONJ		
39	an	ADP	ADP		ADP		
39	Paris-8	PROPN	PROPN		PROPN		
39	swa	VERB	VERB		VERB		
39	si	SCONJ	SCONJ		SCONJ		
39	ou	PRON	PRON		PRON		
39	di	VERB	VERB		VERB		
39	mwen	PRON	PRON		PRON		
39	ké	PART	PART		PART		
39	sé	VERB	VERB		VERB		
39	on	DET	DET		DET		
39	lòt	ADJ	ADJ		ADJ		
39	jou	NOUN	NOUN		NOUN		
39	an	PRON	PRON		PRON		
39	pa	ADV	ADV		ADV		
39	sav	VERB	VERB		VERB		
39	an	PRON	PRON		PRON		
39	pé	AUX	AUX		AUX		
39	vwè	VERB	VERB		VERB		
39	men	CONJ	CONJ		CONJ		
39	ifo	AUX	AUX		AUX		
39	ou	PRON	PRON		PRON		
39	di	VERB	VERB		VERB		
39	sa	PRON	PRON		PRON		
39	lépito	ADV	ADV		ADV		
39	posib	ADV	ADV		ADV		
39	men	CONJ	CONJ		CONJ		
39	sé	VERB	VERB		VERB		
39	gro	ADJ	ADJ		ADJ		
39	délenkan	NOUN	NOUN		NOUN		
39	la	DET	DET		DET		
39	yo	PRON	PRON		PRON		
39	ka	PART	PART		PART		
39	kouri	VERB	VERB		VERB		
39	yo	PRON	PRON		PRON		
39	ka	PART	PART		PART		
39	fè	AUX	AUX		AUX		
39	tout	DET	DET		DET		
39	sa	PRON	PRON		PRON		
39	yo	PRON	PRON		PRON		
39	vlé	VERB	VERB		VERB		
39	yo	PRON	PRON		PRON		
39	ka	PART	PART		PART		
39	fè	AUX	AUX		AUX		
39	moun	NOUN	NOUN		NOUN		
39	sé	DET	DET		DET		
39	ti	ADJ	ADJ		ADJ		
39	boug	NOUN	NOUN		NOUN		
39	la	DET	DET		DET		
39	yo	PRON	PRON		PRON		
39	ka	PART	PART		PART		
39	fè	AUX	AUX		AUX		
39	moun	NOUN	NOUN		NOUN		
39	chié	VERB	VERB		VERB		
39	nan	ADP	ADP		ADP		
39	chimen	NOUN	NOUN		NOUN		
39	la	DET	DET		DET		
39	yo	PRON	PRON		PRON		
39	pa	ADV	ADV		ADV		
39	arété	VERB	VERB		VERB		
39	yo	PRON	PRON		PRON		
39	menm	ADV	ADV		ADV		
39	konyé_la	VERB	VERB		ADV		
39	lapolis	NOUN	NOUN		ADV		
39	vin	VERB	VERB		VERB		
39	pè	VERB	VERB		VERB		
39	konyé	VERB	VERB		VERB		
39	la a	DET	DET		DET		
39	tout	DET	DET		DET		
39	sa	PRON	PRON		PRON		
39	ka	PART	PART		PART		
39	pasé	VERB	VERB		VERB		
40	pétèt	ADV	ADV		ADV		
40	osi	ADV	ADV		ADV		
40	sé	VERB	VERB		VERB		
40	on	DET	DET		DET		
40	timoun	NOUN	NOUN		NOUN		
40	k’ay	VERB	PRON		SCONJ		
40	kòm	ADP	ADP		ADP		
40	yo	PRON	PRON		PRON		
40	ka	PART	PART		PART		
40	ba	VERB	VERB		VERB		
40	y	PRON	PRON		PRON		
40	san	ADP	ADP		ADP		
40	ké	SCONJ	SCONJ		SCONJ		
40	i	PRON	PRON		PRON		
40	mandé	VERB	VERB		VERB		
40	menm	ADV	ADV		ADV		
40	la	ADV	ADV		ADV		
40	i	PRON	PRON		PRON		
40	piti	ADJ	ADJ		ADJ		
40	bon	ADV	ADV		ADV		
40	i	PRON	PRON		PRON		
40	ni	VERB	VERB		VERB		
40	dé	DET	DET		DET		
40	zan	NOUN	NOUN		NOUN		
40	pétèt	ADV	ADV		ADV		
40	yo	PRON	PRON		PRON		
40	ka	PART	PART		PART		
40	ba	VERB	NOUN		VERB		
40	y	PRON	PRON		PRON		
40	san	ADP	ADP		ADP		
40	ké	SCONJ	SCONJ		SCONJ		
40	i	PRON	PRON		PRON		
40	mandé	VERB	VERB		VERB		
40	an	DET	DET		DET		
40	kado	NOUN	NOUN		NOUN		
40	pasi	ADV	ADV		ADV		
40	an	DET	DET		DET		
40	kado	NOUN	NOUN		NOUN		
40	pala	ADV	ADV		ADV		
41	an	PRON	PRON		PRON		
41	té	PART	PART		PART		
41	vlé	AUX	AUX		AUX		
41	rakonté	VERB	VERB		VERB		
41	zòt	PRON	PRON		PRON		
41	finalman	ADV	ADV		ADV		
41	dé	DET	DET		DET		
41	obstak	NOUN	NOUN		NOUN		
41	pou	ADP	ADP		ADP		
41	bay	VERB	VERB		VERB		
41	zòt	PRON	PRON		PRON		
41	fòs	NOUN	NOUN		NOUN		
41	é	CONJ	CONJ		CONJ		
41	kouray	NOUN	NOUN		NOUN		
41	finalman	ADV	ADV		ADV		
41	pou	ADP	ADP		ADP		
41	di	VERB	VERB		VERB		
41	zòt	PRON	PRON		PRON		
41	ni	VERB	VERB		VERB		
41	moun	NOUN	NOUN		NOUN		
41	ki	PRON	PRON		PRON		
41	ni	VERB	VERB		VERB		
41	obstak	NOUN	NOUN		NOUN		
41	ni	VERB	VERB		VERB		
41	moun	NOUN	NOUN		NOUN		
41	ka	PART	PART		PART		
41	réyisi	VERB	VERB		VERB		
41	kanmenm	ADV	ADV		ADV		
42	é	CONJ	CONJ		CONJ		
42	Fifi	PROPN	PROPN		PROPN		
42	ka	PART	PART		PART		
42	di	VERB	VERB		VERB		
42	mwen	PRON	PRON		PRON		
42	a!	INT	int		INT 		
42	sé	VERB	VERB		VERB		
42	on	DET	DET		DET		
42	timoun	NOUN	NOUN		NOUN		
42	ki	PRON	PRON		PRON		
42	ka	PART	PART		PART		
42	réyisi	VERB	VERB		VERB		
42	adan	ADP	ADP		ADP		
42	lavi	NOUN	NOUN		NOUN		
42	an	PRON	PRON		PRON		
42	di	VERB	VERB		VERB		
42	non	ADV	ADV		ADV		
42	sé	VERB	VERB		VERB		
42	pa	ADV	ADV		ADV		
42	paské	SCONJ	SCONJ		SCONJ		
42	timoun	NOUN	NOUN		NOUN		
42	la	DET	DET		DET		
